SUPPLIER,TOTAL RETAIL SALES,TOTAL RETAIL TRANSFERS,TOTAL WAREHOUSE SALES,SUM
Anheuser Busch Inc,42559.14000000007,47328.72,584424.3499999999,674312.21
Miller Brewing Company,35022.63000000003,39176.67,572648.4100000001,646847.7100000002
Crown Imports,26707.830000000005,29561.67,579824.7000000003,636094.2000000003
Heineken Usa,20923.170000000002,23004.25,318812.59,362740.01
E & J Gallo Winery,67455.63000000008,75160.58999999988,75605.32999999996,218221.54999999993
Diageo North America Inc,57661.960000000116,62987.11999999998,54255.87999999999,174904.96000000008
Constellation Brands,54472.510000000046,60546.71999999992,44968.75999999998,159987.98999999993
Jim Beam Brands Co,39156.830000000096,43030.10999999993,2928.4500000000003,85115.39000000003
The Wine Group,25758.15000000003,28480.289999999994,26611.78,80850.22000000003
Boston Beer Corporation,10773.25,11869.96,53448.90999999999,76092.12
Yuengling Brewery,9628.349999999999,10851.17,53807.32,74286.84
Flying Dog Brewery Lllp,10301.08,11862.88,47233.219999999994,69397.18
Bacardi Usa Inc,28034.629999999986,30852.849999999995,4050.4800000000005,62937.959999999985
Pabst Brewing Co,4330.0999999999985,4868.0,49815.91999999997,59014.01999999997
Sazerac Co,25772.62999999998,27825.01999999998,5312.18,58909.82999999996
Pernod Ricard Usa Llc,24988.55,27148.519999999968,4117.09,56254.15999999996
Republic National Distributing Co,13011.989999999849,13207.7,27905.689999999988,54125.37999999984
Brown-Forman Beverages Worldwide,21659.41000000002,23670.250000000007,5166.93,50496.59000000003
Treasury Wine Estates Americas Company,16701.419999999976,18073.129999999994,12595.68,47370.229999999974
A Vintners Selections,8647.909999999873,8381.300000000001,29811.509999999987,46840.71999999986
Legends Ltd,3789.7599999999975,4379.24,36020.04,44189.04
Sutter Home Winery Inc,10522.769999999993,11216.69,22081.840000000004,43821.299999999996
Deutsch Family Wine & Spirits,13929.429999999998,15447.480000000001,12867.53,42244.44
Heaven Hill Distilleries Inc,18466.920000000002,20078.289999999994,2906.4300000000003,41451.63999999999
Dogfish Head Craft Brewery,5716.84,6424.46,25574.45,37715.75
Jackson Family Enterprises Inc,10897.989999999989,12028.590000000002,12644.25,35570.82999999999
Delicato Family Vineyards,13540.809999999989,14779.990000000003,6720.6900000000005,35041.48999999999
Sierra Nevada Brewing Co,4167.449999999998,4683.0,22897.46,31747.909999999996
Southern Glazers Wine And Spirits,7843.989999999984,8150.279999999999,14121.03,30115.29999999998
Fifth Generation Inc,12993.55,14158.369999999999,2155.25,29307.17
Excelsior Wine Company Llc,7360.949999999998,8332.67,9829.63,25523.25
Proximo Spirits Inc,11514.980000000003,12572.099999999997,587.0,24674.08
William Grant And Sons Inc,10813.729999999996,11900.949999999999,696.8299999999999,23411.509999999995
Reliable Churchill Lllp,9515.989999999974,9495.859999999999,4182.59,23194.439999999973
Ste Michelle Wine Estates,7828.860000000001,8655.420000000004,6627.01,23111.290000000008
New Belgium Brewing Inc,3723.2999999999984,4221.67,14874.31,22819.28
Moet Hennessy Usa,9429.950000000013,10078.489999999998,2386.66,21895.10000000001
Campari America Llc,9350.62999999999,9958.609999999999,744.83,20054.069999999992
Buck Distributing Company Inc,2561.5299999999997,2831.0,12591.05,17983.579999999998
Clipper City Brewing Co,3051.839999999998,3600.12,10252.71,16904.67
Bacchus Importers Ltd,4079.249999999996,3763.42,8524.03,16366.699999999997
Monsieur Touton Selection,2310.2499999999973,2428.2599999999998,10153.320000000002,14891.829999999998
Mark Anthony Brands Inc,1754.9599999999996,1968.0,9477.93,13200.89
Kysela Pere Et Fils Ltd,3152.8500000000017,3323.8500000000004,6656.110000000001,13132.810000000003
Constantine Wines Inc,1942.6000000000004,1986.7400000000002,8711.970000000001,12641.310000000001
Palm Bay Imports,3855.4799999999996,4165.990000000001,4206.93,12228.400000000001
Banfi Products Corp,4507.210000000001,4796.77,2913.17,12217.150000000001
Dc Brau Brewing Llc,2187.959999999999,2462.96,7507.84,12158.759999999998
Katcef Brothers Inc,1323.33,1607.0,9070.58,12000.91
Labatt Usa Operating Co Llc,2183.14,2446.0,6719.58,11348.72
Dops Inc,1060.9600000000007,1115.17,8582.3,10758.43
Remy Cointreau Usa,4133.589999999999,4516.68,300.09000000000003,8950.36
Castle Brands Usa Corp,3689.660000000003,3929.11,958.51,8577.280000000002
Francis Coppola Winery Llc,3267.6599999999994,3616.5600000000013,1668.7600000000002,8552.980000000001
Mhw Ltd,2415.049999999998,3181.04,2839.5,8435.589999999998
Delmar Brewing Company Llc,1127.5900000000001,1421.0,5413.13,7961.72
Freixenet Usa,2722.6499999999987,2923.92,1926.92,7573.489999999999
Opici Family Distributing Of Md,1110.4500000000014,1229.0,5162.01,7501.460000000002
Kobrand Corporation,2733.4400000000014,2917.7000000000003,1646.0,7297.140000000001
Lapham Sales & Marketing Dba Lapham,2657.7,2832.52,1761.0100000000002,7251.23
Royal Wine Corp,1812.6900000000028,2159.45,3164.4300000000003,7136.570000000003
Fetzer Vineyards,2337.409999999999,2635.5,1292.0,6264.909999999999
Tri-Vin Imports,1016.2700000000015,1013.4100000000001,4136.700000000001,6166.380000000003
Dionysos Imports Inc,539.3700000000005,524.6700000000001,4885.93,5949.970000000001
Luneau Usa Inc,1873.3700000000008,2027.1800000000003,2024.0,5924.550000000001
Punto Vino Llc,195.29000000000002,212.75,5402.76,5810.8
Baron Francois Ltd,2178.889999999998,2170.06,1410.9299999999998,5759.879999999997
Prestige Beverage Group Of Md Llc,1700.230000000003,1638.9400000000003,2407.13,5746.300000000003
The Edrington Group Usa Llc,2686.0599999999986,2920.24,57.84,5664.1399999999985
Luxco Spirited Brands,2524.580000000001,2615.16,506.0,5645.740000000001
J Lohr Winery,1979.649999999999,2273.84,1288.67,5542.159999999999
Gambrinus,874.4299999999998,984.0,3196.42,5054.85
United States Distilled Products,2133.6600000000008,2242.6000000000004,630.83,5007.090000000001
Coastal Brewing Company Llc,563.98,621.0,3690.5,4875.48
Young Won Trading Inc,1059.4900000000005,1049.0800000000002,2530.9000000000005,4639.470000000001
Stoli Group (Usa) Llc,2036.7399999999996,2188.66,250.83,4476.23
Elite Wines Imports,238.15999999999983,225.49,3993.26,4456.91
American Beverage Marketers,1917.2900000000002,2104.59,307.0,4328.88
North Lock Llc Dba Port City Brewing Co,920.7,1088.0,2236.0,4244.7
Grapes Of Spain Inc,464.5500000000001,471.6,3043.34,3979.4900000000002
